Hit,Score,E-value
"gb|QEQ13236.1| E7, partial [Human papillomavirus 16]",193.0,1.34619e-17
"gb|QEQ13210.1| E7, partial [Human papillomavirus 16] >gb|QEQ13212.1| E7, partial [Human papillomavirus 16] >gb|QEQ13214.1| E7, partial [Human papillomavirus 16] >gb|QEQ13216.1| E7, partial [Human papillomavirus 16] >gb|QEQ13218.1| E7, partial [Human papillomavirus 16]",193.0,1.65837e-17
gb|AVN71312.1| E6 [Human papillomavirus 16],194.0,1.7889e-17
"gb|QCF46765.1| E7 protein, partial [Human papillomavirus 16] >gb|QCF46768.1| E7 protein, partial [Human papillomavirus 16] >gb|QCF46771.1| E7 protein, partial [Human papillomavirus 16] >gb|QCF46774.1| E7 protein, partial [Human papillomavirus 16] >gb|QCF46777.1| E7 protein, partial [Human papillomavirus 16]",191.0,1.8407e-17
gb|AAK84003.1| truncated E7 protein [Human papillomavirus 16],190.0,1.94443e-17
"gb|QEQ13258.1| E7, partial [Human papillomavirus 16] >gb|XOD95115.1| oncoprotein, partial [Human papillomavirus] >gb|QEQ13260.1| E7, partial [Human papillomavirus 16] >gb|QEQ13262.1| E7, partial [Human papillomavirus 16] >gb|QEQ13264.1| E7, partial [Human papillomavirus 16]",192.0,2.01768e-17
"gb|AQY46756.1| E7 protein, partial [Human papillomavirus 16] >gb|AQY46776.1| E7 protein, partial [Human papillomavirus 16] >gb|AQY46780.1| E7 protein, partial [Human papillomavirus 16]",193.0,2.05644e-17
"gb|AFJ19784.1| E7 protein, partial [Human papillomavirus 16]",193.0,2.14142e-17
gb|AVN80642.1| E6 [Human papillomavirus 16],194.0,2.15491e-17
"gb|AQY46742.1| E7 protein, partial [Human papillomavirus 16] >gb|AQY46744.1| E7 protein, partial [Human papillomavirus 16] >gb|AQY46746.1| E7 protein, partial [Human papillomavirus 16] >gb|AQY46748.1| E7 protein, partial [Human papillomavirus 16] >gb|AQY46750.1| E7 protein, partial [Human papillomavirus 16]",193.0,2.17237e-17
